content,score,cleaned_text
terlalu terlalu terlalu... apk yg tidak bisa di percaya. kuota cepat abis minta update terus. tp bug tmbah banyak. hp jd lelet !!!.. kok bisa nyuri data pribadi ya... diliat dari apk yg terus berjln dilatar belakang dan terus mengirim data. tp g tau data ap yg dikirim ?? wah wah wah... bahaya bobol bisa atm wkwkwk,1,apk yg percaya kuota cepat abis update tp bug tmbah hp jd lelet nyuri data pribadi ya liat apk yg berjln latar kirim data tp g tau data ap yg kirim bahaya bobol atm wkwkwk
"Aplikasi sebenernya bagus. Cuma kurang suka aja sama sistem deliverynya aja. Udah disuruh tunggu 1 jam, ga ada progress, gabisa di cancel dr customer, ditungguin lebih lama lg tiba2 di cancel dari gojeknya krn ga dapet driver! Gada kompensasi apapun, buang buang waktu.",2,aplikasi sebenernya bagus suka aja sistem deliverynya aja udah suruh tunggu jam ga progress gabisa cancel dr customer ditungguin lg cancel gojek krn ga dapet driver gada kompensasi apa buang buang
"Aplikasi sekarang ini makin jelek banget, gofood jarang banget ada promo malah promo nya harus pake jenius dll terus klo pesen gocar itu sekarang makin susah karna ada zonasi jd klo mau pergi jarak jauh susah dapet nya apalagi saya suka dinas ke daerah dan itu susah banget dapet gocar untuk kebandara Tolong dong aplikasinya konsisten seperti yg lama jd mempermudah pelanggan, yg sekarang malah mempersulit pelanggan",3,aplikasi jelek banget gofood jarang banget promo promo nya pake jenius dll klo sen gocar susah karna zonasi jd klo pergi jarak susah dapet nya suka dinas daerah susah banget dapet gocar bandara tolong aplikasi konsisten yg jd mudah langgan yg sulit langgan
"Kecewa berkali2 sama gojek, pesen makan ga dapet dapet driver padahal tempat saya dan makanannya strategis dan tetap berkali kali ngga dapet driver padahal sudah coba pakai mode reguler dan mode cepat tapi tetap ga ada hasil. Tolong di tingkatkan lagi lah",1,kecewa kali gojek sen makan ga dapet dapet driver makan strategis kali kali ngga dapet driver coba pakai mode reguler mode cepat ga hasil tolong tingkat
"Ga pernah bisa 100% percaya dgn map nya gojek walaupun sudah di setting rumah, sudah di setting pin poin, pakai koordinat, walaupun hidup GPS, map ny ga sepintar map nya grab yang titik 100% sesuai dgn ekspektasi. Sebagai pengguna disuruh cek and recheck yang mana ya ga efektif kalau buru buru. Berkali kali pesan goride ujung2 disuruh jalan sm mitra karena titik berbeda. Padahal sudah percaya dgn mapnya dan pasang pin poin. Tolong diperbaiki ya. Lokasi jemput / antar mu tidak pernah akurat",1,ga percaya dgn map nya gojek setting rumah setting pin poin pakai koordinat hidup gps map ny ga pintar map nya grab titik sesuai dgn ekspektasi guna suruh cek and recheck ya ga efektif buru buru kali kali pesan goride ujung suruh jalan sm mitra titik beda percaya dgn map pasang pin poin tolong baik ya lokasi jemput mu akurat
"Sebenernya bagus, tapi semakin kesini semakin susah cari driver, status pesanan ngegantung berjam jam, ga bisa dicancel, ditungguin pun tidak kunjung dapat driver, sebenernya kekurangan driver atau gimana sih? Udah lama seperti ini tp tidak ada perbaikan!",2,sebenernya bagus kesini susah cari driver status pesan ngegantung jam jam ga dicancel ditungguin kunjung driver sebenernya kurang driver gimana sih udah tp baik
"Sy pernah pesan gocar, trus driver minta dicancel krn katanya macet di jalan. Stlh dicancel, ternyata proses tetap berlangsung. Sy tdk dijemput, tetapi driver tetap menyelesaikan trip. Saldo sy kepotong hampir 200.000 !!! Benar2 mengecewakan sistem keamanan aplikasi gojek !!! Stlh kejadian itu, langsung auto un-install aplikasi yg tidak aman spt ini !!!",1,sy pesan gocar trus driver dicancel krn macet jalan stlh dicancel proses sy tdk jemput driver selesai trip saldo sy potong kecewa sistem aman aplikasi gojek stlh jadi langsung auto uninstall aplikasi yg aman spt
"Aplikasi sangat membantu, tapi tolonglah ITnya perbaiki jarak jemput Jangan terlalu JAUH!!!!! Kasian PELANGGAN nunggu LAMA, dan kasian DRIVER juga Boros BBM, Tadak sesuai PENDAPATAN, dan sering kena CANCEL. AYU donk diperbaiki, jangan cuma mikirin UNTUNG doank, MAKSIMALKAN semuanya. Agar saling MENGUNTUNGkan. Terimakasih.",5,aplikasi bantu tolong itnya baik jarak jemput kasi langgan nunggu kasi driver boros bbm tadak sesuai dapat kena cancel ayu donk baik mikirin untung doank maksimal untung terimakasih
"Nggak berguna banget tombol chat / telepon resto gak bisa digunakan sama customer. Padahal kalau butuh ganti menu kan lebih enak, nyaman, dan cepat kalau bisa langsung chat sama resto yang bersangkutan.",1,nggak guna banget tombol chat telepon resto gak customer butuh ganti menu enak nyaman cepat langsung chat resto sangkut
"Menurut ku matiin aja paket hemat nya,, hemat sih hemat tapi datang selalu terlambat,,, masa nunggu sampe 1 jam lebih. Tolong deh kaya dulu langsung aja klik pesan langsung muncul harga pesanan ny.. kcewa. Ga sesuai waktu, satu menit di sini tapi di aplikasi sama dengan 5 mnit perbedaan nya",1,ku matiin aja paket hemat nya hemat sih hemat lambat nunggu sampe jam tolong deh kaya langsung aja klik pesan langsung muncul harga pesan ny kcewa ga sesuai menit aplikasi mnit beda nya
